Delta,Theta,Alpha,Beta,Gamma,Extra
2242.343484,3326.503368,2040.376337,2438.462002,1116.52948,138.0290721
2914.696675,5642.561569,2433.870249,1797.09323,1041.454332,95.74752773
3843.198369,6138.756373,4857.486141,1957.304315,1289.855758,212.5230949
795.4727093,2124.913977,2109.560691,3511.477869,1486.935266,99.07880692
5736.964997,5377.094734,3631.037042,2802.980337,1657.206621,98.78678253
4488.812438,5531.116946,2633.899237,2100.758842,1504.391893,252.0726871
3154.037179,2528.076104,2134.301626,2314.787548,1697.111315,123.1240548
9261.01684,6879.682275,3344.155977,2858.280505,2107.996968,156.1665147
3996.459452,4019.552566,1933.759639,2796.280715,1191.093137,165.0245801
5218.754469,4654.402115,737.0228439,1603.938955,1254.252931,149.2986008
2501.199277,3540.096803,2756.084617,1927.63743,915.7319963,102.226214
7795.696454,6380.408984,2934.7603,2426.20639,1113.729252,160.9081617
3736.516421,8583.001501,4007.77896,2632.995034,1080.597486,156.551526
1485.400923,3116.996206,1686.258771,2882.111962,1533.054776,161.9051246
2053.280002,4505.812779,2636.787094,2694.237811,1199.223135,134.3807014
3391.870764,5863.322132,3313.7869,1526.204524,1511.044983,62.91513237
3533.924686,6286.197302,3042.2792,2935.456933,1736.650896,204.9736983
4280.881437,7185.927757,3666.916692,3429.375595,2050.148953,243.3430348
3763.543581,2978.425833,2916.231169,3221.717524,1413.094954,179.3877795
6170.427027,4581.821777,4057.220789,2688.762049,1631.124709,212.0133438
2734.387915,2814.402087,2362.596497,2063.135125,1350.033307,137.1122298
1514.305029,5549.07526,1505.424314,2177.429896,1972.412449,118.8945255
2652.828847,2359.943014,2028.29585,1411.09425,1221.693716,91.261115
4784.864241,6276.945713,3853.527328,2037.884823,1237.796882,108.3591357
3071.715763,4131.843884,1943.298929,3562.507278,1659.178,153.0422453
5348.461612,6584.671734,4584.58733,2397.30785,1214.143607,118.4228284
5497.209004,5885.970351,2904.19179,2129.219952,1308.323994,111.8017116
3798.739089,4300.502554,2834.955087,2735.553481,1229.012335,137.7210606
2325.112355,2078.001811,1990.72416,2973.01596,1435.207408,121.1355019
4955.645086,6141.881728,4418.037119,3158.012226,1824.593889,391.2673551
8405.238633,9334.487815,3811.057712,2430.16477,1866.798501,83.99088497
2573.454434,3866.346253,937.9601871,1824.995155,1291.369782,96.88966082
