Delta,Theta,Alpha,Beta,Gamma,Extra
6092.171573,13397.76823,6666.284304,2436.645515,1508.758665,226.2237577
10263.61625,10036.7363,6132.579509,2843.923327,1343.200206,225.5817874
8040.428302,12926.52868,3882.001534,2558.723895,1959.39707,168.3761141
10059.82529,16309.11898,6925.417042,4082.654758,2645.417825,147.9467855
8979.632444,17311.52708,8163.146105,3311.154339,2000.545367,167.2691722
10018.23841,17747.03614,6937.238666,3967.291935,1853.930227,242.6237631
4391.559754,10027.85343,5253.484409,2057.971611,1565.520531,109.8397293
4567.441018,7513.440073,4600.366807,3172.967712,1668.050589,169.1206494
5643.623246,8638.08444,6726.742473,3977.141954,2652.155563,507.5332106
12892.86206,11945.2925,4851.875242,2970.71357,1980.460114,176.1743003
7175.275163,8978.209268,7848.432932,2350.102591,1476.364478,170.6933499
7591.77325,7946.138809,5517.008559,2611.499482,1756.731397,106.4663512
9540.602874,11417.05866,2467.540066,3237.760949,1645.001489,127.777743
2939.83084,1966.114981,1084.321891,2197.391094,1214.864682,132.7595808
5886.799278,7176.884075,3370.509703,2252.964342,1242.791837,138.0334036
1077.701142,3617.369174,1480.263732,2105.107408,1120.059058,178.895613
2128.452971,4342.874502,2347.924567,3476.797644,1534.553633,194.6921396
3339.095253,2614.333392,2313.790319,2267.259817,1339.709751,145.2352895
6803.301217,5498.403319,4299.392298,3014.388217,1423.574154,229.81925
3494.503809,4153.434464,3501.96645,2184.298435,1046.630283,138.89941
2221.53421,6452.982646,4242.770826,3355.861064,1379.473238,173.315297
7002.408688,4953.149641,2055.979722,3124.899582,1432.428222,229.8787622
6968.868343,4024.932783,2491.304409,2396.051202,1622.715373,147.767935
2937.058138,3470.932878,2767.508176,3798.814686,2405.682042,111.7830757
4061.135713,3677.601437,1495.932278,3461.40772,1878.647662,335.4351256
6193.339576,2964.630692,2997.465121,3321.99079,1587.659069,133.2227558
3386.402738,4739.362315,3276.199029,2869.645423,1324.276685,209.164907
4123.811005,6171.599225,3623.558434,2919.875601,1445.430044,105.422516
4635.066586,7335.943015,4857.536037,3913.175575,2110.524443,196.2220222
1337.05124,4361.43282,2008.235788,1823.672404,1128.194538,137.4010403
16159.20388,13819.91107,8300.320918,2693.223841,1039.97687,161.3616769
2217.257365,2498.754268,1732.887627,1567.719438,1011.789173,74.2743444
4804.872808,7953.263535,3613.732339,2789.190037,1863.920853,79.51047728
2692.629518,1722.285535,1714.25131,2249.826488,1871.319975,155.1964747
5027.323854,6264.883152,3800.702588,1530.137589,961.1415444,72.67217416
4141.914751,4688.684813,3413.989413,2507.986797,1441.56474,91.3745192
4552.128148,5600.887694,4114.529704,3041.918008,1309.961426,194.7584902
2462.148763,2468.4422,1544.052395,2790.585964,1400.2758,116.2160986
2613.145148,4297.568179,1629.310201,2960.581378,1407.702019,209.1573277
5047.375076,4261.380501,3118.698518,3646.715529,1471.310231,277.2599749
2393.346449,3229.369045,2954.943967,3429.470266,1554.7342,142.8546585
2544.470836,1546.813378,1898.478726,2219.164648,1225.914156,161.2049324
4581.46944,6503.978325,2585.735558,2590.387703,1242.041152,176.0421127
9322.992828,7834.397016,4513.201037,2818.475583,1333.467221,142.933076
